storeName,email,phoneNumber,city,website,facebookPage,country,phones
Dey Phone,deyphone2021@gmail.com,+213 798 74 34 77,"tripoli , Algiers, Algeria",,https://www.facebook.com/profile.php?id=100068127768841,algeria,yes
Aziz phone,,+213 776 09 22 76,"Djelfa, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100083544018604,algeria,yes
Lux Tindouf Phone,amranilaaredj.34@gmail.com,+213 558 64 71 34,"شارع طريق سلام عليكم تيندوف, Algiers, Algeria",t.me/mumukleinr,https://www.facebook.com/amranilaared,algeria,yes
Amzi.phone,,+213 660 09 68 35,"aki, Algeria",,https://www.facebook.com/profile.php?id=61555578119890,algeria,yes
nigaru phone,mcwalis312@gmail.com,,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100093132420734,algeria,yes
Caba phone Dz,omariou61@gmail.com,+213 559 88 23 36,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100075877269270,algeria,yes
Aziz madrid phone,,+213 552 21 69 27,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100033487939264,algeria,yes
Thé King phone,ayoubromy186@gmail.com,+213 775 89 04 58,"Les eucalyptus algeria, Algiers, Algeria",aufashion.com,https://www.facebook.com/aufashiondz,algeria,yes
for.your_phone,Dzabdou870@gmail.com,+213 669 77 31 23,"alger, Algiers, Algeria",kit.co/for.your_kitchen/for-your-phone,https://www.facebook.com/profile.php?id=100072443172868,algeria,yes
Koko phone,derdjinekamel@gmail.com,+213 674 17 72 54,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100064917314502,algeria,yes
phone sm mi,,+213 561 10 77 23,"Alger , Algiers, Algeria",,https://www.facebook.com/profile.php?id=100092316876720,algeria,yes
Phone mk,Sswy1980@gmail.com,,"الجزائر , Algiers, Algeria",,https://www.facebook.com/profile.php?id=100084989536341,algeria,yes
Fli_tcha Phone,flitcha707@gmail.com,+213 542 33 80 31,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100083195267701,algeria,yes
EdeN PhoNe,usmh319@gmail.com,+213 779 58 46 80,"El harrach Belfort bazar tamim n°8, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100090542598968,algeria,yes
Mrin Phone&cosmitic,,+213 676 07 20 94,"نعامه مشرية, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100084754576621,algeria,yes
Espace Phone,,+213 773 92 43 14,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100066957680298,algeria,yes
Bilal Phone,bilalou17766@gmail.com,+213 771 98 98 78,"باب الواد مقابل بلدية باب الواد, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100064898403402,algeria,yes
Buzz phone,buzzphone2021@gmail.com,+213 781 39 63 00,"Tidjani Rachid , Algiers, Algeria",,https://www.facebook.com/profile.php?id=100066682728759,algeria,yes
Musta phone,Crb99crb@gmail.com,+213 540 09 53 89,"Belfort, El Harrach, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100064605255805,algeria,yes
Belfort Capitale Phone,MobiGo.dz@gmail.com,+213 770 61 42 31,"Algiers, Algeria",,https://www.facebook.com/Belfort.Capitale.Phone,algeria,yes
Aya-Phone,ayaphonereghaia@gmail.com,+213 554 97 18 33,"Reghaia Signa, Reghaia, Algeria",,https://www.facebook.com/profile.php?id=61558471827361,algeria,yes
Youyou phone,,+213 778 38 78 94,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100076008680725,algeria,yes
Benmoussa phone Elhamiz,,+213 656 70 79 66,"مقابل ملعب الحميز , El Hamiz, Algeria",,https://www.facebook.com/benphonestore16,algeria,yes
Ultra phone Douera,khemaciyazid@gmail.com,+213 798 98 21 40,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100063034220576,algeria,yes
Mer Phone DZ,,+213 540 47 55 43,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100068360275124,algeria,yes
Didine Phone,djimydadi21@gmail.com,+213 557 17 92 77,"belfort el harrach, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100063942196985,algeria,yes
Vetement Bon Prix,,+213 559 09 55 11,"Alger, Algiers, Algeria",,https://www.facebook.com/dr.phone.kouba,algeria,yes
FORZA PHONE,aymanadjroud938@gmail.com,+213 778 02 11 50,"Algiers, Algeria",forza-phone.business.site,https://www.facebook.com/profile.php?id=100067236549515,algeria,yes
Anis phone,sa0131441@gmail.com,+213 797 46 12 89,"les eucalyptus alger, Algiers, Algeria",,https://www.facebook.com/profile.php?id=61550307720881,algeria,yes
JIMMY PHONE,,+213 551 32 31 20,"Mahelma, Algeria",,https://www.facebook.com/profile.php?id=100054617161744,algeria,yes
MH Phone aki,popohoho46@gmail.com,+213 795 89 38 80,"aki, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100063518692388,algeria,yes
Ben phone Dz,,+213 554 24 09 18,"Algiers, Algeria",,https://www.facebook.com/kmsbenmoussa,algeria,yes
El hamiz phone,,+213 660 92 69 64,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100075881696971,algeria,yes
Youcef Phone,,+213 559 41 13 01,"Rue El Biar, الجزائر, الجزائر, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100063615490178,algeria,yes
SikaPhone,Sikaddourhacene@gmail.com,+213 559 83 59 75,"SikaPhone, Algiers, Algeria",instagram.com/sikaphone?r=nametag,https://www.facebook.com/SikaPhone,algeria,yes
Rihane phone,wahab_1983@hotmail.fr,+213 553 50 07 36,,,https://www.facebook.com/profile.php?id=100031223846283,algeria,yes
Mina Phone,,+213 540 20 92 70,Rue Nassima,instagram.com/mina_phone?igshid=YmMyMTA2M2Y%3D,https://www.facebook.com/minaphone.fb,algeria,yes
DELLALA DE SIDI MOUSSA     ( HOUSSAM PHONE),,+213 771 44 70 64,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100068928361102,algeria,yes
متجر مختلف①,nader.zarabi.30@gmail.com,+213 698 93 33 09,"Algiers, Algeria",facebook.com/SmPhone30,https://www.facebook.com/SmPhone30,algeria,yes
go_phone_cheraga,,+213 557 76 94 86,"Cheraga, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100067318310019,algeria,yes
H&M PHONE,hichammessahel5@gmail.com,+213 552 15 29 56,"Belfort el harach , Algiers, Algeria",,https://www.facebook.com/profile.php?id=100090836408690,algeria,yes
Pimp__my__phone,nazimusma37@gmail.com,+213 553 03 00 50,"Alger centre, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100083008167371,algeria,yes
Sm phone 3, · Dine-in,+213 674 44 27 45,"projet 264 logts LSP BT 2 N 115 RDC khraicia, Algiers, Algeria",,https://www.facebook.com/profile.php?id=61554926167890,algeria,yes
World phone,,+213 542 29 11 91,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100083357946409,algeria,yes
PHONETdz,abdelilehnasri@gmail.com,+213 558 21 09 37,"Alger, Algiers, Algeria",,https://www.facebook.com/PHONETDZ,algeria,yes
Fardoi phone,ouss77732@gmail.com,+213 773 61 58 01,"Rouiba, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100093134070842,algeria,yes
Mokrani Phone-DZ,spaniaphone8@gmail.com,+213 550 54 05 05,"16000, Algiers, Algeria",,https://www.facebook.com/profile.php?id=100063492582876,algeria,yes
WG phone,,+213 559 12 14 37,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100087906274331,algeria,yes
UK PHONE,raoufred17@gmail.com,+213 550 46 71 42,"Algiers, Algeria",,https://www.facebook.com/profile.php?id=100040197039835,algeria,yes
Ricky phone,Redabexa@gmail.com,+213 555 57 50 30,"Algiers, Algeria",ouedkniss.com/store/?id=6637&s=cat,https://www.facebook.com/rickphone,algeria,yes
