storeName,city,phoneNumber,website,facebookPage,email,country,phones
Malik Mobile,"Jade Nader Pashtoon Road, Kabul Mobile Business Market Kabul, 2700, Afghanistan",+93 79 410 1010,,https://www.facebook.com/1531657130396292/,,afghanistan,yes
Lal Poor,"Mobile Market, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=13952998280105064360,,afghanistan,yes
خپلواک موبایل,"City Walk, Ahmad Zaher Rd, Kabul, Afghanistan",+93 77 700 9500,,https://www.facebook.com/Ekhplwak-Mobiles-%D8%A7%D8%AE%D9%BE%D9%84%D9%88%D8%A7%DA%A9-%D9%85%D8%A8%D8%A7%DB%8C%D9%84-%D8%A7%D9%81%D8%BA%D8%A7%D9%86%D8%B3%D8%AA%D8%A7%D9%86-106160524175220/,,afghanistan,yes
Khplwak mobile,"G59J+77C, Nadir Pashton Rd, Kabul, Afghanistan",+93 78 888 6988,,https://www.google.com/maps/?cid=2846002909002942884,,afghanistan,yes
مبایل فروشی وسامان الات برقی تمیم همدرد,"مسجد مهترلام بابا، Kabul, Afghanistan",+93 79 331 2001,,https://www.google.com/maps/?cid=14480762628110482806,,afghanistan,yes
محل فروشات و خدمات روشن,"H42W+HQ7, Taimani Project Rd, Kabul, Afghanistan",+93 79 424 2999,www.roshan.af,https://www.google.com/maps/?cid=13560954650161476368,,afghanistan,yes
Suhrab Mobile,"Kabul, Afghanistan",+93 78 990 9999,fitness.com,https://www.facebook.com/1528312970569577/,,afghanistan,yes
موبایل فروشی غلغله ونمایندگی ام پیسه,"F3J7+CCF، دشت برچی شهرک مهدیه سرک بهارستان سر کوچه مسلم مقابل دو کان صادق صادق کربلای و علی جان کر بلای، کابل، Kabul,",+93 79 814 0717,,https://www.google.com/maps/?cid=3286001626225705506,,afghanistan,yes
جنرال موبایل,"G43M+VHF، جاده پل سرخ، Kabul, Afghanistan",+93 79 967 3737,,https://www.google.com/maps/?cid=14151838545728188271,,afghanistan,yes
Hasib Mobile Store,"malik asghar suqare, Wazir Akbar Khan Rd, Kabul 1001, Afghanistan",+93 78 170 4630,,https://m.facebook.com/HasibMobilestore/,hassibmobile@gmail.com,afghanistan,yes
Pashton Market پشتون مارکیت,"G58J+7P9, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=4209926055429305363,,afghanistan,yes
V-smart Mobiles,"G59J+797, Kabul, Afghanistan",+93 20 210 8884,vsmart.net,https://www.google.com/maps/?cid=4483393496253876423,,afghanistan,yes
موبایل فروشی فردوس امیری,"Kabul, Afghanistan",+93 70 808 2502,,https://www.google.com/maps/?cid=15525116533764373855,,afghanistan,yes
Alizada Software,"Taimani Project Rd, Kabul 1001, Afghanistan",+93 72 882 8201,,https://www.google.com/maps/?cid=8052853155919735085,,afghanistan,yes
Sultan Mobile,"Gulbhar Center, Kabul, Afghanistan",+93 77 000 0040,,https://www.google.com/maps/?cid=11466081625303544249,,afghanistan,yes
MoMo Agetn,"Charahe Shahed، Kabul, Afghanistan",+93 77 405 0745,www.mtn.com.af,https://www.google.com/maps/?cid=12321784949333299276,,afghanistan,yes
Sadaf Mobile,"Shaheed Mazari Rd, Kabul, Afghanistan",+93 79 953 4142,sadaf-mobile-store.business.site,https://www.google.com/maps/?cid=15454225548070899854,,afghanistan,yes
Kamran Mobile,"G66H+547, Kabol, Afghanistan",+93 78 697 5954,,https://www.google.com/maps/?cid=8709811019398262609,,afghanistan,yes
Boloro ArzanQemat Kabul,"ArzanQemat 8 block Kabul, 0093, Afghanistan",+93 79 933 3731,,https://www.google.com/maps/?cid=705840183037089231,,afghanistan,yes
Gulzar Market,"G58H+JMR, Mandawi Rd, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=24068296401656860,,afghanistan,yes
دنیای موبایل بابه دهقان,"دشت برچی، کابل،, Kabul, Afghanistan",+93 77 454 5916,,https://www.google.com/maps/?cid=10133576833501465540,,afghanistan,yes
Shukrullah Mobiles,"fazili markit, kabul kote sangi, shop14, Afghanistan",+93 78 898 4900,,https://www.google.com/maps/?cid=1543225966134367947,,afghanistan,yes
Mobile Town,"Deh-Afghanan, Q Mobile Center, Kabul, Afghanistan",+93 70 367 9129,,https://www.google.com/maps/?cid=9653409428566994870,,afghanistan,yes
Muzamil Mobile,"Hoth Khel St, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=17030211012090801893,,afghanistan,yes
موبايل فروشی صداقت,"کابل، 2022, Afghanistan",+93 78 406 0582,,https://www.google.com/maps/?cid=8422453967156820589,,afghanistan,yes
موبایل سامسونگ(۲),"H3PQ+768, شاهراه کابل - چاریکار،, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=11097204119574242266,,afghanistan,yes
موبایل فروشی امیری,"G258+VX3، Unnamed Road, کابل، Kabul, Afghanistan",,,https://www.google.com/maps/?cid=9296324501166493240,,afghanistan,yes
شیر موبایل زون,"G62X+67M, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=18171200460137250648,,afghanistan,yes
N A insaf,"G58M+H8R, Kabul, Afghanistan",+93 78 620 9999,,https://www.google.com/maps/?cid=5997756887726404630,,afghanistan,yes
شرکت عرش لميټد,"G58M+755, Kabul, Afghanistan",+93 78 022 1200,,https://www.google.com/maps/?cid=16636864214107116183,,afghanistan,yes
یوسف ابراهیمی مبایل,"4th floor of Gulbahar Center Malik Asghar Square, کابل،, Afghanistan",+93 78 238 0308,cell-phone-accessory-store-2330.business.site,https://www.google.com/maps/?cid=5778800372643079948,,afghanistan,yes
فروشگاه وترمیم گاه مبایل برادران,"H5V8+9P8, Kabul, Afghanistan",+93 78 850 9754,,https://www.google.com/maps/?cid=3477033668668204363,,afghanistan,yes
واب فای های نزدیک من,"G5CR+C4W، پل محمودخان،, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=13911602501260466911,,afghanistan,yes
ساحل موبایل زون,"G9W6+C2P, Pole Charkhi Rd, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=8779146928211120934,,afghanistan,yes
مبایل زون Mobile Zone,"G479+3F4, Kabul Main Bus Stop, Pul-e-Sukhta Rd, کابل،, Afghanistan",,,https://www.google.com/maps/?cid=5362349583983812417,,afghanistan,yes
پيوست مبايل,"سه راه علاءالدین،, Kabul, Afghanistan",,,https://www.google.com/maps/?cid=962395024764067365,,afghanistan,yes
