storeName,description,wholesalers,distributors,name,position,phoneNumber,email,linkedinPage,city,facebookpage,website,phones
1StopWireless,Mobile Accessories Wholesale Store,yes,û,N/A,N/A,1 905-232-2080,N/A,N/A,"5200 Dixie Rd #4, Mississauga, ON L4W 1E4, Canada",N/A,https://www.1stopwireless.ca/,yes
A1 Wireless Ltd.,"A1 Wireless provides cellular phones, equipment, accessories, supplies and phone plans for both retail and corporate customers. ",no,yes,N/A,N/A,1 604-597-3115,info@a1wireless.ca,N/A,"7711 128th St 1 # 1, Surrey, British Columbia, Canada",https://www.facebook.com/A1WirelessSurrey,https://a1wireless.ca/,yes
All In Tech Inc.,"All In Tech is wholesaler and distributor located in Mississauga, Ontario, Canada.
 We provide Cell Phone Parts for businesses and cell phone repair store.",yes,yes,N/A,N/A,1 6475518144,info@allintechinc.ca,N/A,"5250 Satellite dr, Unit 30, Mississauga, Ontario L4W",N/A,https://allintechinc.ca/,yes
AlphaTech Wholesale,Wholesale of electronics. We Sell High Quality Cell Phone and Tablet Parts. ,yes,no,N/A,N/A,(289) 795-4444,info@alphatechwholesale.com,N/A,"2450 Castlebrook Rd, Oakville, ON L6M 0G5, Canada",N/A,http://www.alphatechwholesale.com/,yes
Atlantia,"For over 20 years, Atlantia has grown into a leading national distributor of iPhone, iPad, Tablet and Laptop accessories.",no,yes,Paul Davis,Senior Sales Manager,1.877.985.7257,sales@atlantia.ca,https://www.linkedin.com/in/paul-davis-8b72a920/,"#121 – 949 West 3rd Street, North Vancouver, BC V7P 3P7, Canada",https://www.facebook.com/AtlantiaCanada/?eid=ARAJQbrf0Wsep9Kwz4XTj4BI2qyYOR8eAViJ888X4cy7IuthBYKqWpMaPm5GL2ci6l2zNoQjRZ5My44P,https://www.atlantia.ca/,yes
Battery Lots,"Battery Lots is a leading distributor of laptop, cell phone and tablet parts in Canada.",no,yes,N/A,N/A,1-855-977-8577,sales@batterylots.com,N/A,"151 Bentley Street Unit 8, Markham, ON L3R 3X9, Canada",N/A,https://www.batterylots.com/,yes
BC Canada Wholesale Electronics Ltd,"We provide all type of cell phone wholesale accessory and parts, Wifi, MP3 Players, Gurbani Radio.",yes,no,N/A,N/A,1 604-300-6550,canadawholesalebc@gmail.com,N/A,"20285 56 Ave, Langley, BC, Canada, British Columbia, Canada",https://www.facebook.com/wholesalebc/,http://www.canadawholesalebc.com/,yes
Beyond Wireless,Beyond Wireless is a Rogers and Fido Authorized Dealer that stays ahead of the curve in today’s ever-changing market by carrying the latest and most innovative technology.,no,yes,Jamie McNain,Co-Owner,N/A,info@beyondwireless.ca,https://www.linkedin.com/in/jamie-mcnain-7400612b,"444 Barrydowne Rd, Sudbury, Ontario CA, Canada",https://www.facebook.com/beyondwirelesscanada,https://beyondwireless.ca/,yes
Blueskycanadan Inc.,"Blueskycanadan Inc.(UniSino International Inc.) is a Canada based importer, exporter and wholesaler of cell phone accessories.",yes,no,N/A,N/A,905-470-6718,sales@usnintl.com,N/A,"400 Don Park Rd unit 18, Markham, ON L3R 1C6, Canada",N/A,http://www.usnintl.com/,yes
Bluetech Canada,Distributors of cell phone accessories.,no,yes,Syed Asim Hussain,Chief Executive Officer,1 (647) 748 5599,salesmd@bluetechcanada.com,https://www.linkedin.com/in/syed-asim-hussain-98980b19a/,"Unit #60BR, 2220 Midland Ave, Scarborough – M1P3E6, Canada",https://www.facebook.com/bluetechcanada/,https://bluetechcanada.com/,yes
